DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,BG,2013,364.272,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,BG,2014,317.260,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,BG,2015,331.146,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,BG,2016,334.105,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,BG,2017,371.605,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,BG,2018,355.306,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,BG,2019,312.492,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,BG,2020,292.143,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2011,7.460,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2012,0.124,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2013,0.124,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2014,2.218,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2015,3.679,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2016,0.000,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2017,2.980,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2018,13.614,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2019,17.199,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CY,2020,14.004,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2011,1835.592,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2012,1895.449,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2013,1852.168,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2014,1593.526,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2015,1568.218,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2016,1558.066,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2017,1749.941,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2018,1650.401,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2019,1432.023,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,CZ,2020,1407.530,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2011,4880.797,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2012,4341.927,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2013,4318.156,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2014,4077.775,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2015,4749.252,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2016,4630.137,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2017,4547.885,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2018,3758.459,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2019,3421.122,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DE,2020,3418.237,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2011,145.340,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2012,115.252,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2013,130.365,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2014,126.347,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2015,117.773,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2016,121.882,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2017,131.241,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2018,133.570,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2019,108.688,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,DK,2020,106.853,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2011,10755.744,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2012,9643.100,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2013,9181.976,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2014,8746.233,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2015,9320.759,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2016,9249.392,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2017,9026.465,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2018,8516.354,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2019,7662.172,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EA19,2020,7030.320,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2011,44.904,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2012,40.999,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2013,39.716,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2014,47.994,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2015,16.860,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2016,17.509,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2017,21.066,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2018,26.273,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2019,29.990,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,EE,2020,7.315,
